what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1463407397848
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1463407397971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407400351
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407401763
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407412673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407418471
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1463407421693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407423958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407838771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407839345
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407853107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407856131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407857624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407861450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407887231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463407887980
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408248331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408251655
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408513154
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1463408514942
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1463408515052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1463408518192
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1463408518573
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408519110
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408527987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408528722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408604654
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463408607502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409065452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409067039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409071402
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409076016
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409100948
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1463409106811
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1463409106963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409113912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409990949
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463409995326
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1463410022909
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1463410029268
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1463410029408
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1463410036451
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1463410036560
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1463410050292
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1463410057828
